SUMMONS_KEY,SUMMONS_DATE,OFFENSE_DESCRIPTION,LAW_SECTION_NUMBER,LAW_DESCRIPTION,SUMMONS_CATEGORY_TYPE,AGE_GROUP,SEX,RACE,JURISDICTION_CODE,BORO,PRECINCT_OF_OCCUR,X_COORDINATE_CD,Y_COORDINATE_CD,Latitude,Longitude,Lon_Lat
286197370,05/01/2024,ALCOHOLIC BEVERAGE IN PUBLIC,10-125(2B),(null),(null),25-44,M,BLACK,0,QUEENS,101,1052603,159209,40.603406,-73.753843,POINT (-73.753843 40.603406)
278254074,11/29/2023,RECKLESS DRIVING,1212,VTL,VTL,25-44,M,WHITE HISPANIC,0,BRONX,48,1013201,247704,40.8465178482,-73.89535960887,POINT (-73.8953596088657 40.84651784820482)
253581920,11/03/2022,ALCOHOLIC BEVERAGE IN PUBLIC,10-125(2B),(null),(null),25-44,M,BLACK,0,BRONX,47,1022835,262759,40.88780234,-73.86045187,POINT (-73.86045187 40.88780234)
262113325,01/18/2023,SMOKING,3209,Education Law (NYS),EDUCATION LAW,18-24,M,BLACK,0,BROOKLYN,73,1008495,183171,40.66940558,-73.91260166,POINT (-73.91260166 40.66940558)
272793060,08/13/2023,ALCOHOLIC BEVERAGE IN PUBLIC,10-125(2B),(null),(null),25-44,M,BLACK,0,BROOKLYN,81,1004979,186690,40.67907337559,-73.92526530591,POINT (-73.92526530591317 40.67907337559362)
278986487,12/14/2023,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,(null),(null),0,BROOKLYN,72,989396,177334,40.65341601106,-73.98145415665,POINT (-73.98145415664811 40.65341601106307)
270056746,06/16/2023,IMPROPER ENTRANCE/EXIT,1050.9,(null),(null),25-44,M,BLACK,1,BROOKLYN,71,997931,182607,40.66789084,-73.95068421,POINT (-73.95068421 40.66789084)
275106667,09/28/2023,RECKLESS DRIVING,1212,VTL,VTL,25-44,M,WHITE HISPANIC,0,BRONX,42,1008966,238885,40.82232512045,-73.91069906155,POINT (-73.9106990615472 40.822325120451744)
291760645,08/15/2024,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,(null),(null),0,BROOKLYN,94,1001547,203048,40.72397961334,-73.93759674848,POINT (-73.93759674847603 40.72397961334044)
240663065,02/16/2022,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,(null),(null),0,BROOKLYN,76,982767,187549,40.681458,-74.005345,POINT (-74.005345 40.681458)
